Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real,
30/01/2019 20:09:48.407,205244613,intervention,70843474,sustain low,30843474,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.507,206254292,intervention,71853153,sustain low,31853153,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.609,207273666,intervention,72872527,sustain low,32872527,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.710,208273259,intervention,73872120,sustain low,33872120,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.811,209292287,intervention,74891148,sustain low,34891148,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.912,210301933,intervention,75900794,sustain low,35900794,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.014,211317420,intervention,76916281,sustain low,36916281,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.115,212326814,intervention,77925675,sustain low,37925675,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.217,213346244,intervention,78945105,sustain low,38945105,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.318,214355664,intervention,79954525,sustain low,39954525,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.419,215364872,intervention,80963733,attack,963733,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.519,216364300,intervention,81963161,attack,1963161,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.620,217383715,intervention,82982576,attack,2982576,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.723,218403140,intervention,84002001,attack,4002001,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:49.822,219402569,intervention,85001430,attack,5001430,0,1,36.3,0,Q1,0,0,10.00778,
30/01/2019 20:09:49.923,220402241,intervention,86001102,attack,6001102,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.025,221428675,intervention,87027536,attack,7027536,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.126,222428071,intervention,88026932,attack,8026932,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.227,223447490,intervention,89046351,attack,9046351,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.328,224457059,intervention,90055920,attack,10055920,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.429,225466336,intervention,91065197,attack,11065197,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.529,226465765,intervention,92064626,attack,12064626,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.631,227475246,intervention,93074107,attack,13074107,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.732,228494641,intervention,94093502,attack,14093502,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.832,229503902,intervention,95102763,attack,15102763,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:50.934,230523248,intervention,96122109,attack,16122109,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:51.035,231532660,intervention,97131521,attack,17131521,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:51.138,232562082,intervention,98160943,attack,18160943,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:51.237,233551506,intervention,99150367,attack,19150367,0,1,36.3,0,Q1,0,0,10.10681,
30/01/2019 20:09:51.341,234587811,intervention,100186672,attack,20186672,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:51.440,235577259,intervention,101176120,attack,21176120,0,1,36.3,0,Q1,0,0,10.02638,
30/01/2019 20:09:51.543,236596920,intervention,102195781,attack,22195781,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:51.642,237596298,intervention,103195159,attack,23195159,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:51.743,238605519,intervention,104204380,attack,24204380,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:51.845,239624931,intervention,105223792,attack,25223792,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:51.947,240644558,intervention,106243419,attack,26243419,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:52.046,241644000,intervention,107242861,attack,27242861,0,1,36.3,0,Q1,0,0,10,
